State_Year,YEAR,STATE,AVG_SCORE,TEST_SUBJECT,TEST_YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
Arkansas1996,1996,Arkansas,215.846436,Mathematics,4,452907,2183384,192152,1296247,694985,2297381,1264275,636106,127007,203555
Hawaii2000,2000,Hawaii,215.8467986,Mathematics,4,185860,1404895,127042,1247256,30597,1363511,765134,373038,109367,115972
Arkansas2000,2000,Arkansas,217.0628695,Mathematics,4,450751,2844855,254735,2126099,464021,2683400,1531232,804253,138220,146666
Maryland1992,1992,Maryland,217.3177079,Mathematics,4,0,4658498,228336,1778834,2651328,4698374,2628891,1461083,0,340298
Arizona1996,1996,Arizona,217.5759405,Mathematics,4,764681,4143304,378917,1798363,1966024,4391555,1860007,1193260,220650,877190
Nevada1996,1996,Nevada,217.6226122,Mathematics,4,265041,1551169,67278,997400,486491,1608989,767237,483238,53033,229949
Delaware1992,1992,Delaware,217.8999724,Mathematics,4,0,645233,45945,420942,178346,638784,372722,194915,0,30595
Texas1992,1992,Texas,217.9187445,Mathematics,4,0,16264180,1160185,6706959,8397036,16119084,7961379,4613884,0,1833239
Alabama2000,2000,Alabama,217.941053,Mathematics,4,730184,4885917,425978,3003814,1456125,5003267,2551713,1319053,395909,663903
Louisiana2000,2000,Louisiana,217.9637562,Mathematics,4,750755,4785331,556240,2361704,1867387,4807097,2601684,1384760,307212,414669
New York1992,1992,New York,218.4455353,Mathematics,4,0,21630179,1172030,8697663,11760486,22815611,13288972,6132532,0,1640971
Ohio1992,1992,Ohio,218.7119349,Mathematics,4,0,9285961,472604,3631703,5181654,9483822,5172782,2961942,0,742377
Arizona2000,2000,Arizona,218.7666191,Mathematics,4,814807,5479168,534619,2481089,2463460,5397194,2488932,1573568,270671,768425
Tennessee1996,1996,Tennessee,219.176248,Mathematics,4,881749,4123018,340239,1967170,1815609,4284181,2363545,1143373,229847,460149
District of Columbia2009,2009,District of Columbia,219.260141,Mathematics,4,44331,801008,75856,0,725152,805362,330698,370127,38514,66023
Georgia2000,2000,Georgia,219.5567571,Mathematics,4,1422941,11197766,710741,5406709,5080316,10884510,5701293,2931538,546396,1520834
Tennessee2000,2000,Tennessee,219.8355873,Mathematics,4,907222,5338531,462000,2429713,2446818,5805181,3166208,1471174,307022,743326
Michigan1992,1992,Michigan,219.8783523,Mathematics,4,0,9963137,537917,2539380,6885840,10170688,4681327,3321276,0,825552
Kentucky1996,1996,Kentucky,219.988195,Mathematics,4,639531,3622788,305059,2272684,1045045,3826435,1970377,1139539,228647,413638
Nevada2000,2000,Nevada,220.2748665,Mathematics,4,325610,2252416,110210,1378678,763528,2437438,1114489,695694,69965,428541
Oklahoma1992,1992,Oklahoma,220.3198059,Mathematics,4,0,2396705,211627,1470516,714562,2515272,1283577,779828,0,194081
South Carolina2000,2000,South Carolina,220.4170062,Mathematics,4,666780,4690418,366587,2420494,1903337,4961392,2426139,1418846,278840,716110
Rhode Island1996,1996,Rhode Island,220.4180939,Mathematics,4,148977,1135192,57826,459171,618195,1092459,699778,321959,24931,20181
Maryland1996,1996,Maryland,220.6949607,Mathematics,4,805544,5688918,271806,2163187,3253925,5825606,3197895,1856055,251330,449601
Virginia1992,1992,Virginia,220.7629642,Mathematics,4,0,5631293,313971,2180133,3137189,5744469,2982862,1758078,0,523409
Kentucky2000,2000,Kentucky,220.9935967,Mathematics,4,646467,4330089,426956,2612740,1290393,4510972,2345581,1284053,260400,515109
Colorado1992,1992,Colorado,221.0234291,Mathematics,4,0,3185173,163253,1307986,1713934,3264826,1642466,1035970,0,364760
Indiana1992,1992,Indiana,221.0377425,Mathematics,4,0,5060274,257044,2578149,2225081,5182754,2598925,1478639,0,536404
Idaho1992,1992,Idaho,221.5625345,Mathematics,4,0,859329,69138,531912,258279,886161,473505,246320,0,111353
District of Columbia2011,2011,District of Columbia,221.8082831,Mathematics,4,44199,1283071,155505,0,1127566,1297175,525185,389526,56132,326332
Missouri1992,1992,Missouri,222.2155998,Mathematics,4,0,4043682,255194,1903124,1885364,4197600,2168135,1221397,0,474552
Maryland2000,2000,Maryland,222.3104068,Mathematics,4,846582,7419047,409021,2804218,4205808,7355698,3874590,2189499,300044,760810
New Mexico2003,2003,New Mexico,222.5180092,Mathematics,4,320264,2626262,383513,1905419,337330,2658140,1239571,851701,131177,399406
New York1996,1996,New York,222.6340587,Mathematics,4,2788343,26026366,1510447,10284155,14231764,26974514,15973623,6953428,942356,1835923
Virginia1996,1996,Virginia,222.643213,Mathematics,4,1079854,6674519,361726,2548036,3764757,6903384,3601237,2045400,347988,721139
Mississippi2003,2003,Mississippi,222.8906005,Mathematics,4,491623,3260771,482904,1754451,1023416,3205193,1702193,965269,203597,267397
Wyoming1996,1996,Wyoming,223.1960029,Mathematics,4,99859,664057,41007,339629,283421,676305,360100,200228,21910,78444
Alabama2003,2003,Alabama,223.3446426,Mathematics,4,727900,5196054,567704,2966981,1661369,5298932,2817111,1521462,424662,432279
West Virginia1996,1996,West Virginia,223.3501327,Mathematics,4,306451,1958647,158572,1222505,577570,1936848,1131846,556873,130467,101350
Oregon1996,1996,Oregon,223.4761647,Mathematics,4,527769,3375710,192228,1822648,1360834,3509765,1879638,1104418,116224,305484
Alaska1996,1996,Alaska,223.8334546,Mathematics,4,126189,1120346,123505,706116,290725,1240031,636959,365085,38996,179297
New Mexico2005,2005,New Mexico,224.0272183,Mathematics,4,326102,2982991,480888,2102670,399433,3011696,1395996,955266,149000,466166
Utah1992,1992,Utah,224.0422477,Mathematics,4,0,1555799,105349,872510,577940,1547980,841552,396073,0,155425
Pennsylvania1992,1992,Pennsylvania,224.3057316,Mathematics,4,0,11257252,658139,4227323,6371790,11539253,6075381,3329224,0,964457
North Carolina1996,1996,North Carolina,224.3251249,Mathematics,4,1181600,6516400,443121,3971818,2101461,6517111,3527936,1780725,402269,687268
Rhode Island2000,2000,Rhode Island,224.6338573,Mathematics,4,155351,1464820,81655,610999,772166,1388454,845667,421472,57496,30587
Missouri1996,1996,Missouri,224.7344618,Mathematics,4,873867,5251014,324566,2536393,2390055,5277785,2745318,1521493,283616,568575
West Virginia2000,2000,West Virginia,224.8482981,Mathematics,4,290982,2243151,210082,1365346,667723,2243563,1271988,672003,156775,129872
Vermont1996,1996,Vermont,224.8810601,Mathematics,4,101064,965238,36693,215657,712888,975817,424562,219243,23167,56478
Illinois2000,2000,Illinois,224.9304113,Mathematics,4,2003839,17595047,1283052,6344130,9967865,18073190,8738312,5245226,716792,2467748
Oklahoma2000,2000,Oklahoma,225.0419222,Mathematics,4,627032,3906833,377776,2162799,1366258,3876871,1928222,1226386,387753,286261
Washington1996,1996,Washington,225.0532981,Mathematics,4,956572,6354593,366716,4288899,1698978,6578388,3222598,1927517,280214,895494
Alabama2005,2005,Alabama,225.0712362,Mathematics,4,729342,5889966,665924,3247562,1976480,5904664,3053380,1744013,462605,511944
Nebraska1992,1992,Nebraska,225.3326475,Mathematics,4,0,1542413,85423,492256,964734,1534046,909159,394690,0,132183
Wyoming1992,1992,Wyoming,225.3775916,Mathematics,4,0,629748,31714,314216,283818,624941,339953,185930,0,60815
Colorado1996,1996,Colorado,225.8058575,Mathematics,4,655679,3891203,194998,1664676,2031529,4075165,2052264,1127563,143767,588209
Nebraska2000,2000,Nebraska,225.9453358,Mathematics,4,287566,2263952,152143,812998,1298811,2165529,1188826,570910,94639,243866
Pennsylvania1996,1996,Pennsylvania,226.2120147,Mathematics,4,1764117,14671368,760182,5629751,8281435,15048791,7960931,4101534,580399,1195395
Louisiana2003,2003,Louisiana,226.2477291,Mathematics,4,723252,5478321,739078,2638985,2100258,5515322,3009591,1645457,337709,409705
Michigan1996,1996,Michigan,226.2580564,Mathematics,4,1631131,13012080,648922,8462687,3900471,13071893,6452165,4205956,691888,919074
Utah1996,1996,Utah,226.5158412,Mathematics,4,474907,2035726,134703,1197910,703113,2150719,1132806,471430,153581,342609
New York2000,2000,New York,226.5590607,Mathematics,4,2861478,31906526,1938590,13766358,16201578,33683043,19856637,8377510,1057876,3266115
Massachusetts1992,1992,Massachusetts,226.5979178,Mathematics,4,0,5517659,273946,1439051,3804662,5245560,2751871,1523068,0,167247
Oregon2000,2000,Oregon,226.6294911,Mathematics,4,542739,4369400,268568,2457202,1643630,4398318,2288931,1433944,148604,391189
Mississippi2005,2005,Mississippi,226.6988447,Mathematics,4,494382,3639643,552628,1958500,1128515,3610904,1935459,1096574,231190,281713
Connecticut1992,1992,Connecticut,226.79848,Mathematics,4,0,3834302,143542,1342539,2348221,3721338,2148041,1142600,0,48542
Hawaii2003,2003,Hawaii,226.8346102,Mathematics,4,183829,2078877,170377,1873318,35182,1602392,888473,521929,128941,63049
Idaho2000,2000,Idaho,226.8937845,Mathematics,4,245226,1452222,109898,888384,453940,1467977,798629,425211,59735,153472
New Jersey1992,1992,New Jersey,227.148047,Mathematics,4,0,10814689,416063,4504718,5893908,10452340,6042936,2911782,0,474259
New Jersey1996,1996,New Jersey,227.2401672,Mathematics,4,1193928,12389781,408872,4589725,7391184,12469216,6636622,4099193,469558,753213
Mississippi2009,2009,Mississippi,227.2622608,Mathematics,4,491194,4392101,675576,2334363,1382162,4552756,2317710,1392119,275915,493773
Utah2000,2000,Utah,227.2926732,Mathematics,4,477835,2546642,189502,1507711,849429,2478420,1355794,596620,192296,270172
California2003,2003,California,227.4549818,Mathematics,4,6226552,59815855,5795655,33617766,20402434,59749885,29561563,17030335,2995767,7341541
Nevada2003,2003,Nevada,227.5135983,Mathematics,4,369498,2778564,191839,1663026,923699,3009028,1406660,767835,88985,576610
Montana1996,1996,Montana,227.5162361,Mathematics,4,165390,944623,90354,452250,402019,924259,538091,289907,37370,48074
Nebraska1996,1996,Nebraska,227.5439927,Mathematics,4,289251,1909834,100886,574359,1234589,1940808,1067391,497288,71038,247543
Mississippi2007,2007,Mississippi,227.6123771,Mathematics,4,494135,4220926,712846,2214700,1293380,4158733,2160396,1296685,251539,379581
Tennessee2003,2003,Tennessee,227.7550447,Mathematics,4,905050,5994756,608447,2648909,2737400,6482671,3621601,1716956,341055,635950
Alabama2009,2009,Alabama,227.9626504,Mathematics,4,745668,7186390,728795,4161103,2296492,7815467,3836398,2331552,561019,924956
New Mexico2007,2007,New Mexico,228.0643128,Mathematics,4,327816,3272953,444466,2360542,467945,3279467,1610295,1103097,119933,396529
Minnesota1992,1992,Minnesota,228.4935963,Mathematics,4,0,4684684,194092,2380754,2109838,4981125,2534882,1343203,0,463724
Alabama2007,2007,Alabama,228.520018,Mathematics,4,743273,7069040,689072,4070949,2309019,7196459,3653466,2174210,546077,687816
Missouri2000,2000,Missouri,228.5528138,Mathematics,4,913517,6675260,437898,3097822,3139540,6708608,3459281,1913563,374060,756817
District of Columbia2013,2013,District of Columbia,228.5672539,Mathematics,4,44179,1300036,129874,0,1170162,1308438,559940,332997,39825,375676
North Dakota1992,1992,North Dakota,228.6628153,Mathematics,4,0,559481,51476,242693,265312,553732,315009,152340,0,34904
Wisconsin1992,1992,Wisconsin,228.6920011,Mathematics,4,0,4993909,217723,2205439,2570747,5181471,2914442,1490415,0,416449
Texas1996,1996,Texas,228.7129198,Mathematics,4,3740260,22241369,1613462,9834742,10793165,22401797,11427564,6131290,1174475,2667181
Kentucky2003,2003,Kentucky,228.7263433,Mathematics,4,660782,4872025,503734,2904331,1463960,4700494,2688476,1473773,282473,127011
Arizona2003,2003,Arizona,228.9113961,Mathematics,4,875111,6529894,740579,2912629,2876686,6210287,2810907,1964229,303924,864642
Massachusetts1996,1996,Massachusetts,228.9664026,Mathematics,4,912330,7129757,302167,3028094,3799496,7479576,4171772,1953199,221882,360126
Arkansas2003,2003,Arkansas,229.0065887,Mathematics,4,450158,3241275,379947,2394336,466992,3242799,1768713,972598,170767,247245
Oklahoma2003,2003,Oklahoma,229.0966213,Mathematics,4,624202,4426835,563974,2272785,1590076,4376502,2158574,1402007,453806,307213
Iowa1996,1996,Iowa,229.1261984,Mathematics,4,502343,3258040,147878,1486426,1623736,3284185,1679091,931857,134624,242065
Wyoming2000,2000,Wyoming,229.2519227,Mathematics,4,91883,787323,66085,408356,312882,769923,417424,242832,24899,70579
Indiana1996,1996,Indiana,229.3944436,Mathematics,4,975455,6422662,306715,3298257,2817690,6644035,3293900,1847383,302283,616866
Louisiana2009,2009,Louisiana,229.4324555,Mathematics,4,662774,7984550,1238259,3568903,3177388,8053960,4051985,2542723,408292,824390
New Hampshire1992,1992,New Hampshire,229.6645638,Mathematics,4,0,1063391,31020,86296,946075,1066647,581123,310285,0,63554
Arizona2005,2005,Arizona,229.8006731,Mathematics,4,919875,7550109,897553,3320196,3332360,7136794,3423716,2264931,351097,861286
Montana2000,2000,Montana,229.8120048,Mathematics,4,157381,1104935,130928,487115,486892,1051768,613132,327975,41385,57419
Mississippi2011,2011,Mississippi,229.8680222,Mathematics,4,490526,4516742,1006465,2071467,1438810,4345783,2238165,1393211,274243,368906
Nevada2005,2005,Nevada,229.8715955,Mathematics,4,399727,3381646,251421,1996995,1133230,3483540,1665706,926213,115483,584219
Iowa1992,1992,Iowa,229.8840779,Mathematics,4,0,2663934,125665,1176205,1362064,2795774,1446478,800570,0,222086
Arizona2009,2009,Arizona,229.9911052,Mathematics,4,981303,8802515,1044140,3806064,3952311,9580393,4296503,2983729,455403,1312659
New Mexico2009,2009,New Mexico,230.0295892,Mathematics,4,328737,3703477,519973,2615320,568184,3945515,1807514,1167618,132017,784529
California2007,2007,California,230.0340912,Mathematics,4,6288686,72516936,7200298,42333637,22983001,73225422,34685013,20655194,3467540,10058842
Louisiana2007,2007,Louisiana,230.0431193,Mathematics,4,662302,7048732,1234006,2911249,2903477,6657341,3430268,2140586,363037,618284
Hawaii2005,2005,Hawaii,230.0968754,Mathematics,4,183185,2274166,236973,1986615,50578,1765805,1007207,559178,137949,61471
Louisiana2005,2005,Louisiana,230.2311964,Mathematics,4,717625,5975074,844640,2787542,2342892,5941561,3264689,1854202,362965,350658
Georgia2003,2003,Georgia,230.2549768,Mathematics,4,1495819,13524807,1051973,6551699,5921135,13516783,7352918,3615906,649880,1705482
Rhode Island2003,2003,Rhode Island,230.297962,Mathematics,4,157286,1728055,109011,713197,905847,1646238,971700,525727,64258,31360
California2005,2005,California,230.3669575,Mathematics,4,6307022,62171797,7148863,34912166,20110768,66196072,31070450,18046385,3132465,10223657
Virginia2000,2000,Virginia,230.3948089,Mathematics,4,1132673,8911426,491873,3761983,4657570,9154676,4823780,2639328,347530,1011384
Maine2000,2000,Maine,230.568646,Mathematics,4,209012,1792390,104497,761317,926576,1842276,1053067,474866,77649,143112
Ohio2000,2000,Ohio,230.5742166,Mathematics,4,1822566,15327834,843432,6425872,8058530,14909952,7497388,4889221,725617,1378528
West Virginia2003,2003,West Virginia,230.7677485,Mathematics,4,281591,2497707,267470,1519848,710389,2524444,1420396,761887,164473,166233
Louisiana2011,2011,Louisiana,230.7788693,Mathematics,4,665109,8022917,1497262,3269321,3256334,8218870,4162557,2582814,406798,809639
West Virginia2005,2005,West Virginia,230.8432679,Mathematics,4,279456,2701056,329159,1607433,764464,2698703,1524187,852145,174265,137026
Michigan2000,2000,Michigan,230.8869725,Mathematics,4,1700074,15939477,1030238,9942275,4966964,16580526,7709336,5109653,742727,1866666
North Dakota2000,2000,North Dakota,230.8929578,Mathematics,4,112349,812982,96940,303132,412910,802768,402602,204117,55808,81274
North Dakota1996,1996,North Dakota,230.9041832,Mathematics,4,119102,655971,69370,267306,319295,657809,338326,169545,52456,52160
Alabama2015,2015,Alabama,230.9774227,Mathematics,4,734974,7360222,795238,4080167,2484817,7501799,3817479,2414860,594283,510091
Mississippi2013,2013,Mississippi,231.1057214,Mathematics,4,492847,4444064,707522,2213501,1523041,4370050,2274357,1465175,284089,285801
New Mexico2015,2015,New Mexico,231.167236,Mathematics,4,326297,3789651,499789,2595682,694180,3846641,1773801,1256303,154435,587243
Alabama2011,2011,Alabama,231.286019,Mathematics,4,746933,7376725,1077070,3965614,2334041,7411768,3844055,2295909,559140,564183
District of Columbia2015,2015,District of Columbia,231.3075251,Mathematics,4,46155,1382282,146366,0,1235916,1360942,557345,379854,41841,381902
Louisiana2013,2013,Louisiana,231.3663086,Mathematics,4,671156,8121179,1229248,3370399,3521532,7940880,3963343,2657751,436167,644212
Wisconsin1996,1996,Wisconsin,231.4118515,Mathematics,4,869930,6342623,270455,2869875,3202293,6521058,3567663,1872074,212389,617334
Kentucky2005,2005,Kentucky,231.4923054,Mathematics,4,674502,5444309,646215,3121503,1676591,5750671,2864633,1660844,336579,741433
California2015,2015,California,231.549345,Mathematics,4,6226523,78248042,7556365,42360470,28331207,78365958,38951948,23501848,3754315,6373893
Maine1992,1992,Maine,231.6388399,Mathematics,4,0,1206819,73160,511654,622005,1228869,685350,317880,0,97128
California2009,2009,California,231.6749272,Mathematics,4,6234155,73958896,9745250,40084244,24129402,74766086,35617964,21693675,3759373,8881265
Tennessee2005,2005,Tennessee,231.6880797,Mathematics,4,940769,6806262,787269,2962151,3056842,7067521,4120045,1907907,378064,483208
Vermont2000,2000,Vermont,231.6977364,Mathematics,4,99609,1211370,65052,711259,435059,1193813,555740,283821,29595,39112
Nevada2007,2007,Nevada,231.7816005,Mathematics,4,422782,4006081,277849,2266751,1461481,4346371,2047045,1216122,139918,731227
Tennessee2009,2009,Tennessee,231.8254862,Mathematics,4,971484,8112895,870374,3800870,3441651,8611178,4809809,2480290,461464,652210
Arizona2007,2007,Arizona,231.9369335,Mathematics,4,969875,8724434,953861,4204089,3566484,8709531,3977800,2656438,403069,1436673
Kansas2000,2000,Kansas,231.9534346,Mathematics,4,469377,3518271,221530,2201788,1094953,3327090,1661540,1092448,209338,206141
Connecticut1996,1996,Connecticut,232.0265739,Mathematics,4,499815,4686025,162218,1703171,2820636,4538234,2701637,1296119,149792,149327
Minnesota1996,1996,Minnesota,232.1930884,Mathematics,4,827418,6101416,241241,3435468,2424707,6423285,3204906,1522656,551475,762106
Maine1996,1996,Maine,232.2070445,Mathematics,4,213601,1485138,78626,647382,759130,1465093,857253,398040,63537,62645
North Carolina2000,2000,North Carolina,232.4630648,Mathematics,4,1261586,9064700,622184,5897936,2544580,9275837,4854623,2356589,479183,1385226
Texas2000,2000,Texas,232.6660297,Mathematics,4,3965971,28918934,2406972,12471856,14040106,31067935,15018072,8307904,1371714,4719976
Tennessee2007,2007,Tennessee,232.7537101,Mathematics,4,978084,7617488,805633,3342186,3469669,7817659,4473035,2144367,414587,593354
New Mexico2013,2013,New Mexico,232.7814329,Mathematics,4,327209,3518621,519318,2401884,597419,3536546,1709797,1096508,145330,514077
New Mexico2011,2011,New Mexico,232.8403707,Mathematics,4,331373,3591330,636436,2355210,599684,3694437,1744548,1124390,140296,616478
Illinois2003,2003,Illinois,232.8567753,Mathematics,4,2062664,19627346,1618724,6792637,11215985,21278177,10409933,6336325,706758,2727980
Alabama2013,2013,Alabama,232.8613325,Mathematics,4,744548,7197439,811739,3898347,2487353,7487741,3747993,2317243,576737,643522
Iowa2000,2000,Iowa,232.8969349,Mathematics,4,497301,3822452,217060,1879158,1726234,3974813,1906755,1104075,260900,353405
Tennessee2011,2011,Tennessee,232.901117,Mathematics,4,986382,8679893,1272825,3955476,3451592,8961443,4947165,2635217,479721,661195
West Virginia2009,2009,West Virginia,232.9831445,Mathematics,4,281908,3097212,355325,1793917,947970,3121728,1759397,994305,196984,157049
Alaska2003,2003,Alaska,232.9916543,Mathematics,4,133303,1425948,259423,813371,353154,1610289,763525,514052,55715,247005
Illinois2005,2005,Illinois,233.067494,Mathematics,4,2072437,21611180,1835598,7152163,12623419,22035569,11063949,6900767,755227,2137191
Maryland2003,2003,Maryland,233.0798523,Mathematics,4,866743,8700979,571108,3317403,4812468,8732518,4738579,2630831,385935,674852
Rhode Island2005,2005,Rhode Island,233.4367723,Mathematics,4,153596,1903472,145957,747359,1010156,1790591,1023496,616544,74850,20070
Georgia2005,2005,Georgia,233.6357378,Mathematics,4,1552758,14724731,1375318,6449103,6900310,14492666,7886069,3954215,658022,1794894
California2013,2013,California,233.6544646,Mathematics,4,6208733,68868516,7836263,35141208,25891045,69727119,34194878,20595508,3461759,6160059
Florida2003,2003,Florida,233.7288115,Mathematics,4,2536699,19549835,1956803,8689141,8903891,20180142,9622598,5938231,1225274,2924134
Nevada2015,2015,Nevada,233.8270162,Mathematics,4,438948,4345419,395630,2744606,1205183,4183085,2170424,1459504,174388,205794
Oklahoma2005,2005,Oklahoma,233.9553288,Mathematics,4,629145,4892548,678448,2440741,1773359,4785987,2303527,1569038,467321,397131
California2011,2011,California,234.1649932,Mathematics,4,6202604,70953331,9990221,37752712,23210398,69847705,34225248,20266047,3486160,6523770
Mississippi2015,2015,Mississippi,234.2430531,Mathematics,4,490189,4592343,672366,2324855,1595122,4624539,2350872,1525340,285117,407791
Connecticut2000,2000,Connecticut,234.2433747,Mathematics,4,530363,5884078,234321,2298931,3350826,5605280,3189123,1634888,180639,369278
Louisiana2015,2015,Louisiana,234.2819018,Mathematics,4,661015,8448743,1235580,3480365,3732798,8437263,4100906,2774314,416066,780338
Hawaii2007,2007,Hawaii,234.286135,Mathematics,4,180728,2985593,256696,2681049,47848,2199604,1177781,732536,151243,138044
Indiana2000,2000,Indiana,234.4214288,Mathematics,4,987214,8489991,426266,4300608,3763109,8518477,4143020,2373445,375026,841171
West Virginia2011,2011,West Virginia,234.6558068,Mathematics,4,282130,3475642,510256,1927726,1037660,3670119,2010407,1160212,211866,269242
Utah2003,2003,Utah,234.7829509,Mathematics,4,483066,2875622,263030,1607204,1005388,2957874,1508566,705128,205147,469251
Missouri2003,2003,Missouri,234.8364254,Mathematics,4,921625,7622601,559732,3430809,3632060,7905481,4087984,2334521,448752,767068
Idaho2003,2003,Idaho,234.9437647,Mathematics,4,248515,1685984,162530,994022,529432,1726941,924434,510284,69672,185850
Massachusetts2000,2000,Massachusetts,234.9596133,Mathematics,4,958907,9464271,480898,3926522,5056851,9466363,5624037,2503616,323913,533702
Missouri2005,2005,Missouri,235.0355476,Mathematics,4,902659,8340865,694008,3640728,4006129,8170965,4224716,2452665,457530,708726
Kentucky2007,2007,Kentucky,235.0879202,Mathematics,4,646360,6226696,677570,3557084,1992042,6351636,3184235,1877438,371495,755710
Nevada2009,2009,Nevada,235.1522739,Mathematics,4,430985,4442101,425133,2272415,1744553,4577881,2145779,1364083,142194,633545
Arizona2011,2011,Arizona,235.157597,Mathematics,4,946571,8429186,1245814,3054501,4128871,8610417,3977772,2935127,350633,741124
Colorado2003,2003,Colorado,235.1931161,Mathematics,4,751049,6297242,400219,2715219,3181804,6685029,3168745,2149761,236480,821129
West Virginia2015,2015,West Virginia,235.2046615,Mathematics,4,279565,3478401,362959,1979466,1135976,3466981,1819903,1161944,233836,232738
