,YEAR,STATE,AVG_SCORE,TEST_SUBJECT,TEST_YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,EXPENSE_PER_STUDENT
61,1992,Colorado,221.0234291,Mathematics,4,0,3185173,163253,3264826,1642466,5.713752923891132
62,1992,Indiana,221.0377425,Mathematics,4,0,5060274,257044,5182754,2598925,5.713752923891132
63,1992,Idaho,221.5625345,Mathematics,4,0,859329,69138,886161,473505,5.713752923891132
64,2011,District of Columbia,221.8082831,Mathematics,4,44199,1283071,155505,1297175,525185,11.88228240457929
65,1992,Missouri,222.2155998,Mathematics,4,0,4043682,255194,4197600,2168135,5.713752923891132
66,2000,Maryland,222.3104068,Mathematics,4,846582,7419047,409021,7355698,3874590,4.576745076082411
67,2003,New Mexico,222.5180092,Mathematics,4,320264,2626262,383513,2658140,1239571,3.87046624035171
68,1996,New York,222.6340587,Mathematics,4,2788343,26026366,1510447,26974514,15973623,5.72871522621141
69,1996,Virginia,222.643213,Mathematics,4,1079854,6674519,361726,6903384,3601237,3.3349295367707117
70,2003,Mississippi,222.8906005,Mathematics,4,491623,3260771,482904,3205193,1702193,3.462394965247761
71,1996,Wyoming,223.1960029,Mathematics,4,99859,664057,41007,676305,360100,3.606084579256752
72,2003,Alabama,223.3446426,Mathematics,4,727900,5196054,567704,5298932,2817111,3.8701895864816596
73,1996,West Virginia,223.3501327,Mathematics,4,306451,1958647,158572,1936848,1131846,3.6933995973255103
74,1996,Oregon,223.4761647,Mathematics,4,527769,3375710,192228,3509765,1879638,3.5614786014335817
75,1996,Alaska,223.8334546,Mathematics,4,126189,1120346,123505,1240031,636959,5.047658670724073
76,2005,New Mexico,224.0272183,Mathematics,4,326102,2982991,480888,3011696,1395996,4.280856909801228
77,1992,Utah,224.0422477,Mathematics,4,0,1555799,105349,1547980,841552,5.713752923891132
78,1992,Pennsylvania,224.3057316,Mathematics,4,0,11257252,658139,11539253,6075381,5.713752923891132
79,1996,North Carolina,224.3251249,Mathematics,4,1181600,6516400,443121,6517111,3527936,2.985727826675694
80,2000,Rhode Island,224.6338573,Mathematics,4,155351,1464820,81655,1388454,845667,5.443589033865247
81,1996,Missouri,224.7344618,Mathematics,4,873867,5251014,324566,5277785,2745318,3.1415741754752156
82,2000,West Virginia,224.8482981,Mathematics,4,290982,2243151,210082,2243563,1271988,4.3713631771037385
83,1996,Vermont,224.8810601,Mathematics,4,101064,965238,36693,975817,424562,4.200922187920526
84,2000,Illinois,224.9304113,Mathematics,4,2003839,17595047,1283052,18073190,8738312,4.360785472285947
85,2000,Oklahoma,225.0419222,Mathematics,4,627032,3906833,377776,3876871,1928222,3.0751572487528547
86,1996,Washington,225.0532981,Mathematics,4,956572,6354593,366716,6578388,3222598,3.3689027067486816
87,2005,Alabama,225.0712362,Mathematics,4,729342,5889966,665924,5904664,3053380,4.186485900990208
88,1992,Nebraska,225.3326475,Mathematics,4,0,1542413,85423,1534046,909159,5.713752923891132
89,1992,Wyoming,225.3775916,Mathematics,4,0,629748,31714,624941,339953,5.713752923891132
90,1996,Colorado,225.8058575,Mathematics,4,655679,3891203,194998,4075165,2052264,3.1299828117112183
91,2000,Nebraska,225.9453358,Mathematics,4,287566,2263952,152143,2165529,1188826,4.134097911435983
92,1996,Pennsylvania,226.2120147,Mathematics,4,1764117,14671368,760182,15048791,7960931,4.5127001213638325
