,YEAR,STATE,AVG_SCORE,TEST_SUBJECT,TEST_YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,EXPENSE_PER_STUDENT
528,1996,Tennessee,263.118935,Mathematics,8,881749,4123018,340239,4284181,2363545,2.680519059278774
529,2003,New Mexico,263.2729067,Mathematics,8,320264,2626262,383513,2658140,1239571,3.87046624035171
530,2005,New Mexico,263.275163,Mathematics,8,326102,2982991,480888,3011696,1395996,4.280856909801228
531,2000,Tennessee,263.4365997,Mathematics,8,907222,5338531,462000,5805181,3166208,3.490003549296644
532,1996,Florida,263.6393936,Mathematics,8,2175352,13684457,942159,13936240,6380643,2.9331542665279
533,1992,Texas,264.5928284,Mathematics,8,0,16264180,1160185,16119084,7961379,5.713752923891132
534,1992,Maryland,264.8254931,Mathematics,8,0,4658498,228336,4698374,2628891,5.713752923891132
535,1996,West Virginia,264.8652054,Mathematics,8,306451,1958647,158572,1936848,1131846,3.6933995973255103
536,2007,Mississippi,264.8909187,Mathematics,8,494135,4220926,712846,4158733,2160396,4.372076456838718
537,2009,Mississippi,265.0019582,Mathematics,8,491194,4392101,675576,4552756,2317710,4.718522620390314
538,2013,District of Columbia,265.2593657,Mathematics,8,44179,1300036,129874,1308438,559940,12.674347540686751
539,1992,Arizona,265.3662778,Mathematics,8,0,3258079,297888,3401580,1435908,5.713752923891132
540,2005,Hawaii,265.6293191,Mathematics,8,183185,2274166,236973,1765805,1007207,5.498304992220978
541,2003,Hawaii,265.728581,Mathematics,8,183829,2078877,170377,1602392,888473,4.833149285477265
542,2003,Arkansas,265.7715893,Mathematics,8,450158,3241275,379947,3242799,1768713,3.929093784848875
543,1992,Rhode Island,265.9071091,Mathematics,8,0,883073,43545,863404,556787,5.713752923891132
544,2007,Alabama,266.0001099,Mathematics,8,743273,7069040,689072,7196459,3653466,4.915375642597
545,2003,Louisiana,266.3283593,Mathematics,8,723252,5478321,739078,5515322,3009591,4.161192779280251
546,2000,Georgia,266.3320473,Mathematics,8,1422941,11197766,710741,10884510,5701293,4.006696693678796
547,2000,South Carolina,266.3536995,Mathematics,8,666780,4690418,366587,4961392,2426139,3.6385899397102492
548,1992,New York,266.4223001,Mathematics,8,0,21630179,1172030,22815611,13288972,5.713752923891132
549,2015,Alabama,266.5553185,Mathematics,8,734974,7360222,795238,7501799,3817479,5.194032714082403
550,1996,Kentucky,266.591684,Mathematics,8,639531,3622788,305059,3826435,1970377,3.0809718371744292
551,1996,Delaware,266.7336733,Mathematics,8,108461,860410,48796,823530,447461,4.125547431795761
